Type,Gender,Min_Age,Max_Age,Sedentary,Moderately_Active,Active
M1,M,18,18,2400,2800,3200
M2,M,19,20,2600,2800,3200
M3,M,21,25,2400,2800,3000
M4,M,26,30,2400,2600,3000
M5,M,31,35,2400,2600,3000
M6,M,36,40,2400,2600,2800
M7,M,41,45,2200,2600,2800
M8,M,46,50,2200,2400,2800
M9,M,51,55,2200,2400,2800
M10,M,56,60,2200,2400,2600
M11,M,61,65,2000,2400,2600
M12,M,66,70,2000,2200,2600
M13,M,71,75,2000,2200,2600
M14,M,76,117,2000,2200,2400
F1,F,18,18,1800,2000,2400
F2,F,19,20,2000,2200,2400
F3,F,21,25,2000,2200,2400
F4,F,26,30,1800,2000,2400
F5,F,31,35,1800,2000,2200
F6,F,36,40,1800,2000,2200
F7,F,41,45,1800,2000,2200
F8,F,46,50,1800,2000,2200
F9,F,51,55,1600,1800,2200
F10,F,56,60,1600,1800,2200
F11,F,61,65,1600,1800,2000
F12,F,66,70,1600,1800,2000
F13,F,71,75,1600,1800,2000
F14,F,76,117,1600,1800,2000
